timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance_od,absorbance_wavelength_nm,absorbance_bandwidth_nm
2025-10-26T07:00:52.533258+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,254900000,0.2549,600,9
2025-10-26T07:07:51.380587+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,248500000,0.2485,600,9
2025-10-26T07:14:50.178492+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,251300000,0.2513,600,9
2025-10-26T07:24:09.487456+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,267700000,0.2677,600,9
2025-10-26T07:33:53.439212+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,274300000,0.2743,600,9
2025-10-26T07:40:52.793668+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,275100000,0.2751,600,9
2025-10-26T07:47:53.028605+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,281800000,0.2818,600,9
2025-10-26T07:54:51.364639+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,287100000,0.2871,600,9
2025-10-26T08:01:53.465053+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,294300000,0.2943,600,9
2025-10-26T08:08:50.239219+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,303600000,0.3036,600,9
2025-10-26T08:15:49.171964+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,311900000,0.3119,600,9
2025-10-26T08:22:52.861626+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,324000000,0.3240,600,9
2025-10-26T08:32:51.041152+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,344300000,0.3443,600,9
2025-10-26T08:58:49.582897+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,382800000,0.3828,600,9
2025-10-26T09:17:51.217798+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,392300000,0.3923,600,9
2025-10-26T09:36:50.832350+00:00,A2,CLTR1JSKV4L7GKEQHW7UVYHRVRVHSAU,401800000,0.4018,600,9
2025-10-26T07:00:52.533258+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,267900000,0.2679,600,9
2025-10-26T07:07:51.380587+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,256800000,0.2568,600,9
2025-10-26T07:14:50.178492+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,257000000,0.2570,600,9
2025-10-26T07:24:09.487456+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,266500000,0.2665,600,9
2025-10-26T07:33:53.439212+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,275300000,0.2753,600,9
2025-10-26T07:40:52.793668+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,269000000,0.2690,600,9
2025-10-26T07:47:53.028605+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,271400000,0.2714,600,9
2025-10-26T07:54:51.364639+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,277800000,0.2778,600,9
2025-10-26T08:01:53.465053+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,283200000,0.2832,600,9
2025-10-26T08:08:50.239219+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,288600000,0.2886,600,9
2025-10-26T08:15:49.171964+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,295600000,0.2956,600,9
2025-10-26T08:22:52.861626+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,304300000,0.3043,600,9
2025-10-26T08:32:51.041152+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,327200000,0.3272,600,9
2025-10-26T08:58:49.582897+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,370900000,0.3709,600,9
2025-10-26T09:17:51.217798+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,379100000,0.3791,600,9
2025-10-26T09:36:50.832350+00:00,B2,CLTR1WWUJ365S2VIUMWZPLW2NDNBXVI,391400000,0.3914,600,9
2025-10-26T07:00:52.533258+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,331900000,0.3319,600,9
2025-10-26T07:07:51.380587+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,312000000,0.3120,600,9
2025-10-26T07:14:50.178492+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,309800000,0.3098,600,9
2025-10-26T07:24:09.487456+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,319100000,0.3191,600,9
2025-10-26T07:33:53.439212+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,324900000,0.3249,600,9
2025-10-26T07:40:52.793668+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,318500000,0.3185,600,9
2025-10-26T07:47:53.028605+00:00,C2,CLTR1WJVVWUY26EAUMUTWB4BSCVQOUQ,320200000,0.3202,600,9
