timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance_od,absorbance_wavelength_nm,absorbance_bandwidth_nm
2025-10-26T07:00:52.533258+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,223200000,0.2232000000,600,9
2025-10-26T07:07:51.380587+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,216000000,0.2160000000,600,9
2025-10-26T07:14:50.178492+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,222000000,0.2220000000,600,9
2025-10-26T07:24:09.487456+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,237100000,0.2371000000,600,9
2025-10-26T07:33:53.439212+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,248300000,0.2483000000,600,9
2025-10-26T07:40:52.793668+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,246600000,0.2466000000,600,9
2025-10-26T07:47:53.028605+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,255400000,0.2554000000,600,9
2025-10-26T07:54:51.364639+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,263600000,0.2636000000,600,9
2025-10-26T08:01:53.465053+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,273100000,0.2731000000,600,9
2025-10-26T08:08:50.239219+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,285600000,0.2856000000,600,9
2025-10-26T08:15:49.171964+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,295800000,0.2958000000,600,9
2025-10-26T08:22:52.861626+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,309000000,0.3090000000,600,9
2025-10-26T08:32:51.041152+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,332300000,0.3323000000,600,9
2025-10-26T08:58:49.582897+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,378300000,0.3783000000,600,9
2025-10-26T09:17:51.217798+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,397400000,0.3974000000,600,9
2025-10-26T09:36:50.832350+00:00,A4,CLTR1QW4PF427RYZAUOJ4BHG5YKIO5M,423600000,0.4236000000,600,9
2025-10-26T07:00:52.533258+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,252400000,0.2524000000,600,9
2025-10-26T07:07:51.380587+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,234500000,0.2345000000,600,9
2025-10-26T07:14:50.178492+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,235500000,0.2355000000,600,9
2025-10-26T07:24:09.487456+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,248900000,0.2489000000,600,9
2025-10-26T07:33:53.439212+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,255500000,0.2555000000,600,9
2025-10-26T07:40:52.793668+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,253100000,0.2531000000,600,9
2025-10-26T07:47:53.028605+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,257100000,0.2571000000,600,9
2025-10-26T07:54:51.364639+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,262800000,0.2628000000,600,9
2025-10-26T08:01:53.465053+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,267800000,0.2678000000,600,9
2025-10-26T08:08:50.239219+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,275000000,0.2750000000,600,9
2025-10-26T08:15:49.171964+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,281200000,0.2812000000,600,9
2025-10-26T08:22:52.861626+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,290100000,0.2901000000,600,9
2025-10-26T08:32:51.041152+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,311000000,0.3110000000,600,9
2025-10-26T08:58:49.582897+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,364100000,0.3641000000,600,9
2025-10-26T09:17:51.217798+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,366400000,0.3664000000,600,9
2025-10-26T09:36:50.832350+00:00,B4,CLTR1XEZPJRYKKEVO6EL2BTVZR77YA4,385000000,0.3850000000,600,9
2025-10-26T07:00:52.533258+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,241000000,0.2410000000,600,9
2025-10-26T07:07:51.380587+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,222500000,0.2225000000,600,9
2025-10-26T07:14:50.178492+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,224600000,0.2246000000,600,9
2025-10-26T07:24:09.487456+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,239700000,0.2397000000,600,9
2025-10-26T07:33:53.439212+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,250300000,0.2503000000,600,9
2025-10-26T07:40:52.793668+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,247800000,0.2478000000,600,9
2025-10-26T07:47:53.028605+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,253600000,0.2536000000,600,9
2025-10-26T07:54:51.364639+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,259800000,0.2598000000,600,9
2025-10-26T08:01:53.465053+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,265600000,0.2656000000,600,9
2025-10-26T08:08:50.239219+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,273800000,0.2738000000,600,9
2025-10-26T08:15:49.171964+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,280700000,0.2807000000,600,9
2025-10-26T08:22:52.861626+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,292700000,0.2927000000,600,9
2025-10-26T08:32:51.041152+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,312200000,0.3122000000,600,9
2025-10-26T08:58:49.582897+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,358600000,0.3586000000,600,9
2025-10-26T09:17:51.217798+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,374600000,0.3746000000,600,9
2025-10-26T09:36:50.832350+00:00,C4,CLTR1XA2BXG6ENZKZDSER6CL2MA5W5M,393600000,0.3936000000,600,9
2025-10-26T07:00:52.533258+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,248700000,0.2487000000,600,9
2025-10-26T07:07:51.380587+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,230500000,0.2305000000,600,9
2025-10-26T07:14:50.178492+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,232000000,0.2320000000,600,9
2025-10-26T07:24:09.487456+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,250100000,0.2501000000,600,9
2025-10-26T07:33:53.439212+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,261300000,0.2613000000,600,9
2025-10-26T07:40:52.793668+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,260300000,0.2603000000,600,9
2025-10-26T07:47:53.028605+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,265900000,0.2659000000,600,9
2025-10-26T07:54:51.364639+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,273700000,0.2737000000,600,9
2025-10-26T08:01:53.465053+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,281800000,0.2818000000,600,9
2025-10-26T08:08:50.239219+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,293700000,0.2937000000,600,9
2025-10-26T08:15:49.171964+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,302000000,0.3020000000,600,9
2025-10-26T08:22:52.861626+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,314500000,0.3145000000,600,9
2025-10-26T08:32:51.041152+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,338800000,0.3388000000,600,9
2025-10-26T08:58:49.582897+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,394100000,0.3941000000,600,9
2025-10-26T09:17:51.217798+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,415600000,0.4156000000,600,9
2025-10-26T09:36:50.832350+00:00,D4,CLTR1P2RMJS3U74HHBKQFUYTSCU3JJ4,437500000,0.4375000000,600,9
2025-10-26T07:00:52.533258+00:00,E4,CLTR1MZMELNZW2K45SMN6YDS3HWAMEM,349400000,0.3494000000,600,9
2025-10-26T07:07:51.380587+00:00,E4,CLTR1MZMELNZW2K45SMN6YDS3HWAMEM,343200000,0.3432000000,600,9
2025-10-26T07:14:50.178492+00:00,E4,CLTR1MZMELNZW2K45SMN6YDS3HWAMEM,368700000,0.3687000000,600,9
2025-10-26T07:24:09.487456+00:00,E4,CLTR1MZMELNZW2K45SMN6YDS3HWAMEM,400100000,0.4001000000,600,9
2025-10-26T07:33:53.439212+00:00,E4,CLTR1MZMELNZW2K45SMN6YDS3HWAMEM,435000000,0.4350000000,600,9
