timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance
2025-10-26T10:27:53.435117+00:00,C8,CLTR1AQAJILTGDOGXT3WQ2VYXON4TV4,332100000,0.3321000000
2025-10-26T10:27:53.435117+00:00,D8,CLTR1SKNNKNJ5B4AOB25ETNTNANUUWU,328300000,0.3283000000
2025-10-26T10:27:53.435117+00:00,F8,CLTR17F5IXPAKAKWBBHEKH5SZFNWEEM,600600000,0.6006000000
2025-10-26T10:48:53.292668+00:00,A8,CLTR12ANUJ6CKMEYCUKQB6VUARZV6OI,379400000,0.3794000000
2025-10-26T10:48:53.292668+00:00,B8,CLTR1PNWEA7SWLML6NIN54USF5KCBEU,330500000,0.3305000000
2025-10-26T10:48:53.292668+00:00,C8,CLTR1AQAJILTGDOGXT3WQ2VYXON4TV4,332400000,0.3324000000
2025-10-26T10:48:53.292668+00:00,D8,CLTR1SKNNKNJ5B4AOB25ETNTNANUUWU,327300000,0.3273000000
2025-10-26T10:48:53.292668+00:00,E8,CLTR1YJM6NBSWJT2243T2GFN7YOEEQI,600300000,0.6003000000
2025-10-26T10:48:53.292668+00:00,F8,CLTR17F5IXPAKAKWBBHEKH5SZFNWEEM,600500000,0.6005000000
2025-10-26T10:48:53.292668+00:00,G8,CLTR1BFV4D6TB5BSE7GS2YUQVD53RGA,587900000,0.5879000000
2025-10-26T10:48:53.292668+00:00,H8,CLTR1WKD2DURKXSLGDMXWZMEVJBIPJE,476300000,0.4763000000
2025-10-26T11:04:54.797251+00:00,A8,CLTR12ANUJ6CKMEYCUKQB6VUARZV6OI,373400000,0.3734000000
2025-10-26T11:04:54.797251+00:00,B8,CLTR1PNWEA7SWLML6NIN54USF5KCBEU,329100000,0.3291000000
2025-10-26T11:04:54.797251+00:00,C8,CLTR1AQAJILTGDOGXT3WQ2VYXON4TV4,335000000,0.3350000000
2025-10-26T11:04:54.797251+00:00,D8,CLTR1SKNNKNJ5B4AOB25ETNTNANUUWU,328300000,0.3283000000
2025-10-26T11:04:54.797251+00:00,E8,CLTR1YJM6NBSWJT2243T2GFN7YOEEQI,601800000,0.6018000000
2025-10-26T11:04:54.797251+00:00,F8,CLTR17F5IXPAKAKWBBHEKH5SZFNWEEM,600600000,0.6006000000
2025-10-26T11:04:54.797251+00:00,G8,CLTR1BFV4D6TB5BSE7GS2YUQVD53RGA,586600000,0.5866000000
2025-10-26T11:04:54.797251+00:00,H8,CLTR1WKD2DURKXSLGDMXWZMEVJBIPJE,480500000,0.4805000000
2025-10-26T11:17:53.915541+00:00,A8,CLTR12ANUJ6CKMEYCUKQB6VUARZV6OI,369400000,0.3694000000
2025-10-26T11:17:53.915541+00:00,B8,CLTR1PNWEA7SWLML6NIN54USF5KCBEU,326200000,0.3262000000
2025-10-26T11:17:53.915541+00:00,C8,CLTR1AQAJILTGDOGXT3WQ2VYXON4TV4,333800000,0.3338000000
2025-10-26T11:17:53.915541+00:00,D8,CLTR1SKNNKNJ5B4AOB25ETNTNANUUWU,326600000,0.3266000000
2025-10-26T11:17:53.915541+00:00,E8,CLTR1YJM6NBSWJT2243T2GFN7YOEEQI,602400000,0.6024000000
2025-10-26T11:17:53.915541+00:00,F8,CLTR17F5IXPAKAKWBBHEKH5SZFNWEEM,600400000,0.6004000000
2025-10-26T11:17:53.915541+00:00,G8,CLTR1BFV4D6TB5BSE7GS2YUQVD53RGA,587400000,0.5874000000
2025-10-26T11:17:53.915541+00:00,H8,CLTR1WKD2DURKXSLGDMXWZMEVJBIPJE,482100000,0.4821000000
2025-10-26T11:30:51.092049+00:00,A8,CLTR12ANUJ6CKMEYCUKQB6VUARZV6OI,368800000,0.3688000000
2025-10-26T11:30:51.092049+00:00,B8,CLTR1PNWEA7SWLML6NIN54USF5KCBEU,325100000,0.3251000000
2025-10-26T11:30:51.092049+00:00,C8,CLTR1AQAJILTGDOGXT3WQ2VYXON4TV4,332900000,0.3329000000
2025-10-26T11:30:51.092049+00:00,D8,CLTR1SKNNKNJ5B4AOB25ETNTNANUUWU,324900000,0.3249000000
2025-10-26T11:30:51.092049+00:00,E8,CLTR1YJM6NBSWJT2243T2GFN7YOEEQI,601600000,0.6016000000
2025-10-26T11:30:51.092049+00:00,F8,CLTR17F5IXPAKAKWBBHEKH5SZFNWEEM,600300000,0.6003000000
2025-10-26T11:30:51.092049+00:00,G8,CLTR1BFV4D6TB5BSE7GS2YUQVD53RGA,587300000,0.5873000000
