timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance_od,absorbance_wavelength_nm,absorbance_bandwidth_nm
2025-10-26T07:00:52.533258+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,311800000,0.3118000000,600,9
2025-10-26T07:07:51.380587+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,295400000,0.2954000000,600,9
2025-10-26T07:14:50.178492+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,296500000,0.2965000000,600,9
2025-10-26T07:24:09.487456+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,308300000,0.3083000000,600,9
2025-10-26T07:33:53.439212+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,312000000,0.3120000000,600,9
2025-10-26T07:40:52.793668+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,302900000,0.3029000000,600,9
2025-10-26T07:47:53.028605+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,304200000,0.3042000000,600,9
2025-10-26T07:54:51.364639+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,306100000,0.3061000000,600,9
2025-10-26T08:01:53.465053+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,307400000,0.3074000000,600,9
2025-10-26T08:08:50.239219+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,313600000,0.3136000000,600,9
2025-10-26T08:15:49.171964+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,318100000,0.3181000000,600,9
2025-10-26T08:22:52.861626+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,325700000,0.3257000000,600,9
2025-10-26T08:32:51.041152+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,348400000,0.3484000000,600,9
2025-10-26T08:58:49.582897+00:00,A7,CLTR15OIXHH464BPKWOHKAGWGBF4RHE,384600000,0.3846000000,600,9
