timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance
2025-10-26T10:27:53.435117+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,450700000,0.4507000000
2025-10-26T10:27:53.435117+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,696300000,0.6963000000
2025-10-26T10:27:53.435117+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,709600000,0.7096000000
2025-10-26T10:27:53.435117+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,436600000,0.4366000000
2025-10-26T10:48:53.292668+00:00,A6,CLTR12LVWWASKL2ZI6225273ZRSBYWQ,402700000,0.4027000000
2025-10-26T10:48:53.292668+00:00,C6,CLTR1PGSNMTV6X7JWQJMRSNX4BVN66A,424900000,0.4249000000
2025-10-26T10:48:53.292668+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,459100000,0.4591000000
2025-10-26T10:48:53.292668+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,695200000,0.6952000000
2025-10-26T10:48:53.292668+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,703100000,0.7031000000
2025-10-26T10:48:53.292668+00:00,G6,CLTR1HNOLBVAD7HGKW4DEWM3J3C5HBY,695400000,0.6954000000
2025-10-26T10:48:53.292668+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,439300000,0.4393000000
2025-10-26T11:04:54.797251+00:00,A6,CLTR12LVWWASKL2ZI6225273ZRSBYWQ,409400000,0.4094000000
2025-10-26T11:04:54.797251+00:00,B6,CLTR1NJPCQ6GBJCFURDQAW4CJUJJBSQ,412700000,0.4127000000
2025-10-26T11:04:54.797251+00:00,C6,CLTR1PGSNMTV6X7JWQJMRSNX4BVN66A,431400000,0.4314000000
2025-10-26T11:04:54.797251+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,465200000,0.4652000000
2025-10-26T11:04:54.797251+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,696300000,0.6963000000
2025-10-26T11:04:54.797251+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,705300000,0.7053000000
2025-10-26T11:04:54.797251+00:00,G6,CLTR1HNOLBVAD7HGKW4DEWM3J3C5HBY,694800000,0.6948000000
2025-10-26T11:04:54.797251+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,441500000,0.4415000000
2025-10-26T11:17:53.915541+00:00,A6,CLTR12LVWWASKL2ZI6225273ZRSBYWQ,409500000,0.4095000000
2025-10-26T11:17:53.915541+00:00,B6,CLTR1NJPCQ6GBJCFURDQAW4CJUJJBSQ,413100000,0.4131000000
2025-10-26T11:17:53.915541+00:00,C6,CLTR1PGSNMTV6X7JWQJMRSNX4BVN66A,429100000,0.4291000000
2025-10-26T11:17:53.915541+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,462000000,0.4620000000
2025-10-26T11:17:53.915541+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,693900000,0.6939000000
2025-10-26T11:17:53.915541+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,705300000,0.7053000000
2025-10-26T11:17:53.915541+00:00,G6,CLTR1HNOLBVAD7HGKW4DEWM3J3C5HBY,699500000,0.6995000000
2025-10-26T11:17:53.915541+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,444600000,0.4446000000
2025-10-26T11:30:51.092049+00:00,A6,CLTR12LVWWASKL2ZI6225273ZRSBYWQ,411100000,0.4111000000
2025-10-26T11:30:51.092049+00:00,B6,CLTR1NJPCQ6GBJCFURDQAW4CJUJJBSQ,413300000,0.4133000000
2025-10-26T11:30:51.092049+00:00,C6,CLTR1PGSNMTV6X7JWQJMRSNX4BVN66A,426200000,0.4262000000
2025-10-26T11:30:51.092049+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,457000000,0.4570000000
2025-10-26T11:30:51.092049+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,696800000,0.6968000000
2025-10-26T11:30:51.092049+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,706300000,0.7063000000
2025-10-26T11:30:51.092049+00:00,G6,CLTR1HNOLBVAD7HGKW4DEWM3J3C5HBY,702100000,0.7021000000
2025-10-26T11:30:51.092049+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,449400000,0.4494000000
2025-10-26T15:51:47.937306+00:00,A6,CLTR12LVWWASKL2ZI6225273ZRSBYWQ,354400000,0.3544000000
2025-10-26T15:51:47.937306+00:00,B6,CLTR1NJPCQ6GBJCFURDQAW4CJUJJBSQ,359100000,0.3591000000
2025-10-26T15:51:47.937306+00:00,C6,CLTR1PGSNMTV6X7JWQJMRSNX4BVN66A,371600000,0.3716000000
2025-10-26T15:51:47.937306+00:00,D6,CLTR1PQAEE2JZ7VN5TINFE5DUXV4N4I,385300000,0.3853000000
2025-10-26T15:51:47.937306+00:00,E6,CLTR1RAGQ5AXKGM5P2AFHFEAFRRXRIQ,753100000,0.7531000000
2025-10-26T15:51:47.937306+00:00,F6,CLTR1BY3G7INQ6TI74L7ZHZXCVIEJ4Q,756300000,0.7563000000
2025-10-26T15:51:47.937306+00:00,G6,CLTR1HNOLBVAD7HGKW4DEWM3J3C5HBY,751100000,0.7511000000
2025-10-26T15:51:47.937306+00:00,H6,CLTR1OSYJSSEA7XXNBW7JC5E7YWCWFI,589200000,0.5892000000

