timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance
2025-10-26T10:27:53.435117+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,500200000,0.5002000000
2025-10-26T10:27:53.435117+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,435200000,0.4352000000
2025-10-26T10:48:53.292668+00:00,A11,CLTR1KKQ3HC4XN7QGNABY4C4CIJ3N64,262500000,0.2625000000
2025-10-26T10:48:53.292668+00:00,B11,CLTR1UVL4VYGDNOSN556WGFA4PATP5M,253400000,0.2534000000
2025-10-26T10:48:53.292668+00:00,C11,CLTR1LSP5LSILHRVPD5HMZKLZSOYPEI,290800000,0.2908000000
2025-10-26T10:48:53.292668+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,496300000,0.4963000000
2025-10-26T10:48:53.292668+00:00,F11,CLTR16RRNF7QHTWDP5AQWCWV2JRY3EA,504800000,0.5048000000
2025-10-26T10:48:53.292668+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,435300000,0.4353000000
2025-10-26T10:48:53.292668+00:00,H11,CLTR1CKZSCMXAMZHJK3HHXQ73CTAZ5U,436200000,0.4362000000
2025-10-26T11:04:54.797251+00:00,A11,CLTR1KKQ3HC4XN7QGNABY4C4CIJ3N64,263800000,0.2638000000
2025-10-26T11:04:54.797251+00:00,B11,CLTR1UVL4VYGDNOSN556WGFA4PATP5M,256000000,0.2560000000
2025-10-26T11:04:54.797251+00:00,C11,CLTR1LSP5LSILHRVPD5HMZKLZSOYPEI,293600000,0.2936000000
2025-10-26T11:04:54.797251+00:00,D11,CLTR1QI7CXFUQF3VQM3ISAJYVFZ2H3I,284900000,0.2849000000
2025-10-26T11:04:54.797251+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,497200000,0.4972000000
2025-10-26T11:04:54.797251+00:00,F11,CLTR16RRNF7QHTWDP5AQWCWV2JRY3EA,504900000,0.5049000000
2025-10-26T11:04:54.797251+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,435200000,0.4352000000
2025-10-26T11:04:54.797251+00:00,H11,CLTR1CKZSCMXAMZHJK3HHXQ73CTAZ5U,440100000,0.4401000000
2025-10-26T11:17:53.915541+00:00,A11,CLTR1KKQ3HC4XN7QGNABY4C4CIJ3N64,263900000,0.2639000000
2025-10-26T11:17:53.915541+00:00,B11,CLTR1UVL4VYGDNOSN556WGFA4PATP5M,256700000,0.2567000000
2025-10-26T11:17:53.915541+00:00,C11,CLTR1LSP5LSILHRVPD5HMZKLZSOYPEI,293800000,0.2938000000
2025-10-26T11:17:53.915541+00:00,D11,CLTR1QI7CXFUQF3VQM3ISAJYVFZ2H3I,287700000,0.2877000000
2025-10-26T11:17:53.915541+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,499900000,0.4999000000
2025-10-26T11:17:53.915541+00:00,F11,CLTR16RRNF7QHTWDP5AQWCWV2JRY3EA,508500000,0.5085000000
2025-10-26T11:17:53.915541+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,438600000,0.4386000000
2025-10-26T11:17:53.915541+00:00,H11,CLTR1CKZSCMXAMZHJK3HHXQ73CTAZ5U,441000000,0.4410000000
2025-10-26T11:30:51.092049+00:00,A11,CLTR1KKQ3HC4XN7QGNABY4C4CIJ3N64,265100000,0.2651000000
2025-10-26T11:30:51.092049+00:00,B11,CLTR1UVL4VYGDNOSN556WGFA4PATP5M,259600000,0.2596000000
2025-10-26T11:30:51.092049+00:00,C11,CLTR1LSP5LSILHRVPD5HMZKLZSOYPEI,294800000,0.2948000000
2025-10-26T11:30:51.092049+00:00,D11,CLTR1QI7CXFUQF3VQM3ISAJYVFZ2H3I,290200000,0.2902000000
2025-10-26T11:30:51.092049+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,502600000,0.5026000000
2025-10-26T11:30:51.092049+00:00,F11,CLTR16RRNF7QHTWDP5AQWCWV2JRY3EA,509300000,0.5093000000
2025-10-26T11:30:51.092049+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,441600000,0.4416000000
2025-10-26T11:30:51.092049+00:00,H11,CLTR1CKZSCMXAMZHJK3HHXQ73CTAZ5U,443900000,0.4439000000
2025-10-26T15:51:47.937306+00:00,A11,CLTR1KKQ3HC4XN7QGNABY4C4CIJ3N64,295200000,0.2952000000
2025-10-26T15:51:47.937306+00:00,B11,CLTR1UVL4VYGDNOSN556WGFA4PATP5M,285700000,0.2857000000
2025-10-26T15:51:47.937306+00:00,C11,CLTR1LSP5LSILHRVPD5HMZKLZSOYPEI,292800000,0.2928000000
2025-10-26T15:51:47.937306+00:00,D11,CLTR1QI7CXFUQF3VQM3ISAJYVFZ2H3I,298300000,0.2983000000
2025-10-26T15:51:47.937306+00:00,E11,CLTR14LR2IJZHMWRBBLTVXXTWCTXT44,579800000,0.5798000000
2025-10-26T15:51:47.937306+00:00,F11,CLTR16RRNF7QHTWDP5AQWCWV2JRY3EA,558600000,0.5586000000
2025-10-26T15:51:47.937306+00:00,G11,CLTR1GXB6QOZHTFUF2MNKORQGFEVJGE,528300000,0.5283000000
2025-10-26T15:51:47.937306+00:00,H11,CLTR1CKZSCMXAMZHJK3HHXQ73CTAZ5U,586400000,0.5864000000

