timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance
2025-10-26T10:27:53.435117+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,274700000,0.2747000000
2025-10-26T10:27:53.435117+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,274600000,0.2746000000
2025-10-26T10:48:53.292668+00:00,A12,CLTR1HFXVA5C3BR5E5EZ7H6DH6SO4IA,286600000,0.2866000000
2025-10-26T10:48:53.292668+00:00,B12,CLTR143MXW56QQVVJU7IUQ6J4MVTNLI,276600000,0.2766000000
2025-10-26T10:48:53.292668+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,272600000,0.2726000000
2025-10-26T10:48:53.292668+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,272900000,0.2729000000
2025-10-26T10:48:53.292668+00:00,E12,CLTR1PPDF7PRFJKL5ISI6TV2G24LKVM,469700000,0.4697000000
2025-10-26T10:48:53.292668+00:00,F12,CLTR1TVLZRYVXLERT7URJXB3M4I6QFE,487900000,0.4879000000
2025-10-26T10:48:53.292668+00:00,G12,CLTR1GVUSOTIGG2CKOTGVBLTA4HDTOI,420700000,0.4207000000
2025-10-26T10:48:53.292668+00:00,H12,CLTR1R4VFVOIGN42FWWXVYGMKGHMR6M,448000000,0.4480000000
2025-10-26T11:04:54.797251+00:00,A12,CLTR1HFXVA5C3BR5E5EZ7H6DH6SO4IA,290100000,0.2901000000
2025-10-26T11:04:54.797251+00:00,B12,CLTR143MXW56QQVVJU7IUQ6J4MVTNLI,278700000,0.2787000000
2025-10-26T11:04:54.797251+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,274700000,0.2747000000
2025-10-26T11:04:54.797251+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,274600000,0.2746000000
2025-10-26T11:04:54.797251+00:00,E12,CLTR1PPDF7PRFJKL5ISI6TV2G24LKVM,470700000,0.4707000000
2025-10-26T11:04:54.797251+00:00,F12,CLTR1TVLZRYVXLERT7URJXB3M4I6QFE,486700000,0.4867000000
2025-10-26T11:04:54.797251+00:00,G12,CLTR1GVUSOTIGG2CKOTGVBLTA4HDTOI,417400000,0.4174000000
2025-10-26T11:04:54.797251+00:00,H12,CLTR1R4VFVOIGN42FWWXVYGMKGHMR6M,438000000,0.4380000000
2025-10-26T11:17:53.915541+00:00,A12,CLTR1HFXVA5C3BR5E5EZ7H6DH6SO4IA,287000000,0.2870000000
2025-10-26T11:17:53.915541+00:00,B12,CLTR143MXW56QQVVJU7IUQ6J4MVTNLI,277200000,0.2772000000
2025-10-26T11:17:53.915541+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,273300000,0.2733000000
2025-10-26T11:17:53.915541+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,273400000,0.2734000000
2025-10-26T11:17:53.915541+00:00,E12,CLTR1PPDF7PRFJKL5ISI6TV2G24LKVM,466600000,0.4666000000
2025-10-26T11:17:53.915541+00:00,F12,CLTR1TVLZRYVXLERT7URJXB3M4I6QFE,483500000,0.4835000000
2025-10-26T11:17:53.915541+00:00,G12,CLTR1GVUSOTIGG2CKOTGVBLTA4HDTOI,413600000,0.4136000000
2025-10-26T11:17:53.915541+00:00,H12,CLTR1R4VFVOIGN42FWWXVYGMKGHMR6M,428300000,0.4283000000
2025-10-26T11:30:51.092049+00:00,A12,CLTR1HFXVA5C3BR5E5EZ7H6DH6SO4IA,284900000,0.2849000000
2025-10-26T11:30:51.092049+00:00,B12,CLTR143MXW56QQVVJU7IUQ6J4MVTNLI,278600000,0.2786000000
2025-10-26T11:30:51.092049+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,274100000,0.2741000000
2025-10-26T11:30:51.092049+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,273800000,0.2738000000
2025-10-26T11:30:51.092049+00:00,E12,CLTR1PPDF7PRFJKL5ISI6TV2G24LKVM,466600000,0.4666000000
2025-10-26T11:30:51.092049+00:00,F12,CLTR1TVLZRYVXLERT7URJXB3M4I6QFE,482400000,0.4824000000
2025-10-26T11:30:51.092049+00:00,G12,CLTR1GVUSOTIGG2CKOTGVBLTA4HDTOI,411400000,0.4114000000
2025-10-26T11:30:51.092049+00:00,H12,CLTR1R4VFVOIGN42FWWXVYGMKGHMR6M,430100000,0.4301000000
2025-10-26T15:51:47.937306+00:00,A12,CLTR1HFXVA5C3BR5E5EZ7H6DH6SO4IA,294700000,0.2947000000
2025-10-26T15:51:47.937306+00:00,B12,CLTR143MXW56QQVVJU7IUQ6J4MVTNLI,303700000,0.3037000000
2025-10-26T15:51:47.937306+00:00,C12,CLTR14BYODMNJ25CPSVY3MO7UNU2ATA,305900000,0.3059000000
2025-10-26T15:51:47.937306+00:00,D12,CLTR1APYNYEPHTTSESETY6BYMZIKD3Y,301200000,0.3012000000
2025-10-26T15:51:47.937306+00:00,E12,CLTR1PPDF7PRFJKL5ISI6TV2G24LKVM,519000000,0.5190000000
2025-10-26T15:51:47.937306+00:00,F12,CLTR1TVLZRYVXLERT7URJXB3M4I6QFE,540100000,0.5401000000
2025-10-26T15:51:47.937306+00:00,G12,CLTR1GVUSOTIGG2CKOTGVBLTA4HDTOI,510000000,0.5100000000
2025-10-26T15:51:47.937306+00:00,H12,CLTR1R4VFVOIGN42FWWXVYGMKGHMR6M,583900000,0.5839000000

